,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,growth_rate,growth_accel,growth_accel_rate
151,2020-06-08,BA,Anguera,city,23,0,True,11221.0,2901502,204.97281999999998,0.0,0.7737202358623004,0.002729930640573203,-0.004020992766234329
152,2020-06-08,BA,Antas,city,3,0,True,19291.0,2901601,15.55129,0.0,0.18568278961974788,-0.023340106775353392,-0.01823137534566445
153,2020-06-08,BA,Antônio Cardoso,city,4,0,True,11683.0,2901700,34.23778,0.0,0.14621153377294452,0.011103000700279236,0.00040483865414767947
154,2020-06-08,BA,Aporá,city,13,1,True,17731.0,2901908,73.31792,0.0769,0.7118481617201959,0.01359492292635656,-0.006475329478290295
155,2020-06-08,BA,Apuarema,city,1,0,True,7330.0,2901957,13.642560000000001,0.0,0.0,0.0,0.0
156,2020-06-08,BA,Araças,city,2,0,True,12177.0,2902054,16.42441,0.0,0.043256826279222366,0.0009017030544119461,-0.00033933852695818164
157,2020-06-08,BA,Aracatu,city,6,0,True,13135.0,2902005,45.67948,0.0,0.11872914750135506,0.004192217204758637,0.00027470343430134814
158,2020-06-08,BA,Araci,city,32,1,True,54379.0,2902104,58.84625,0.0312,0.9925862107848924,0.07221264991409297,0.005197482178914819
159,2020-06-08,BA,Aramari,city,2,0,True,11397.0,2902203,17.548479999999998,0.0,0.14255041797594228,0.015171742476300175,-0.0010461784106286026
160,2020-06-08,BA,Arataca,city,2,0,True,11019.0,2902252,18.150470000000002,0.0,-0.008164729223170651,-0.0005712820492948874,0.00016728739905561569
161,2020-06-08,BA,Aratuípe,city,2,1,True,8825.0,2902302,22.66289,0.5,0.07144275451265528,-0.006833824643255073,-0.003848117377601815
162,2020-06-08,BA,Aurelino Leal,city,21,0,True,11531.0,2902401,182.11777,0.0,0.5961713785805322,0.034962675707342135,0.0015417087201541795
163,2020-06-08,BA,Baianópolis,city,1,0,True,13877.0,2902500,7.206169999999999,0.0,0.0,0.0,0.0
164,2020-06-08,BA,Banzaê,city,12,0,True,13229.0,2902658,90.7098,0.0,0.575060253075054,0.0472859921447297,0.002970891953521147
165,2020-06-08,BA,Barra,city,4,0,True,53578.0,2902708,7.46575,0.0,0.049389968321697314,0.0002854761638238191,-0.0001436058966218346
166,2020-06-08,BA,Barra da Estiva,city,1,0,True,20598.0,2902807,4.85484,0.0,0.0,0.0,0.0
167,2020-06-08,BA,Barra do Choça,city,14,0,True,31603.0,2902906,44.29959,0.0,0.3226208602674239,0.014930202720667288,0.0006657137153946614
168,2020-06-08,BA,Barra do Mendes,city,1,0,True,13865.0,2903003,7.21241,0.0,0.0,0.0,0.0
169,2020-06-08,BA,Barra do Rocha,city,5,0,True,5714.0,2903102,87.50438,0.0,0.05529164135854845,-0.001301948377224072,-0.0006551752701517953
170,2020-06-08,BA,Barreiras,city,118,0,True,155439.0,2903201,75.91402,0.0,3.143360088421506,0.1627316367619303,0.006906057907173916
171,2020-06-08,BA,Barrocas,city,25,0,True,15978.0,2903276,156.46514,0.0,0.9857251514999421,0.06381973081802535,0.00487109483513767
172,2020-06-08,BA,Barro Preto,city,6,0,True,5591.0,2903300,107.31533,0.0,0.1077560344087486,0.0018877114880979373,-6.666024700682803e-05
173,2020-06-08,BA,Belmonte,city,27,1,True,23328.0,2903409,115.74073999999999,0.037000000000000005,0.7788468473938099,0.05451434171649518,0.003411196413221656
174,2020-06-08,BA,Boa Nova,city,1,0,True,12633.0,2903706,7.915780000000001,0.0,0.0,0.0,0.0
175,2020-06-08,BA,Boa Vista do Tupim,city,3,0,True,18576.0,2903805,16.14987,0.0,0.05106916361759714,-0.004335980135546351,-0.0008124561908443539
176,2020-06-08,BA,Bom Jesus da Lapa,city,26,0,True,69148.0,2903904,37.60051,0.0,1.2472103817459648,0.06480120017620436,-0.003093899167942448
177,2020-06-08,BA,Boninal,city,1,0,True,14368.0,2904001,6.959910000000001,0.0,0.0,0.0,0.0
178,2020-06-08,BA,Boquira,city,10,0,True,21508.0,2904100,46.49433,0.0,0.3359329366080881,0.001975576924804387,-0.0009657157619341469
179,2020-06-08,BA,Brumado,city,49,0,True,67195.0,2904605,72.92209,0.0,1.113060224181268,0.04093577998422989,-0.0012140791169866117
180,2020-06-08,BA,Buerarema,city,40,5,True,18349.0,2904704,217.99552999999997,0.125,0.6323883740485602,-0.021183556286680696,-0.0014533682215623314
181,2020-06-08,BA,Buritirama,city,7,0,True,21174.0,2904753,33.05941,0.0,0.6257578581431217,0.0588560296682569,0.0012166246189133196
182,2020-06-08,BA,Cabaceiras do Paraguaçu,city,3,0,True,18807.0,2904852,15.95151,0.0,0.15445916725086442,0.011857502796713892,0.00041170651358546416
183,2020-06-08,BA,Cachoeira,city,12,0,True,33470.0,2904902,35.853,0.0,0.286435339504055,0.011285741365556658,2.7331690980180567e-05
184,2020-06-08,BA,Caém,city,5,0,True,9213.0,2905107,54.27114,0.0,0.14856387997652648,0.0061814627764113965,0.0001700642155576852
185,2020-06-08,BA,Caetanos,city,2,0,True,14542.0,2905156,13.75327,0.0,0.012102393930982547,-0.0009653325950625198,6.48606961443907e-05
186,2020-06-08,BA,Caetité,city,14,0,True,50975.0,2905206,27.464440000000003,0.0,0.7249842189147689,0.047012785758754436,0.0010773014457439844
187,2020-06-08,BA,Cairu,city,27,1,True,18176.0,2905404,148.54754,0.037000000000000005,0.9200916038718588,0.002867743809411818,-0.0014923601028694238
188,2020-06-08,BA,Caldeirão Grande,city,6,0,True,13327.0,2905503,45.021390000000004,0.0,0.1388776196758086,0.0045522654905005245,-3.511764079881276e-05
189,2020-06-08,BA,Camacan,city,123,1,True,31988.0,2905602,384.51919,0.0081,3.382493361703199,0.16524708576689884,0.0062527113299078564
190,2020-06-08,BA,Camaçari,city,398,7,True,299132.0,2905701,133.05163000000002,0.0176,9.439797974755418,0.4333706694383117,0.015193248937609422
191,2020-06-08,BA,Camamu,city,10,0,True,35316.0,2905800,28.31578,0.0,0.2450004620606357,0.00342708981404842,-0.0006673416875017257
192,2020-06-08,BA,Campo Alegre de Lourdes,city,26,0,True,28798.0,2905909,90.28405,0.0,0.7400384666233718,0.03262251279204944,0.0004308993652130406
193,2020-06-08,BA,Campo Formoso,city,4,0,True,71206.0,2906006,5.6175,0.0,0.09775395398029506,0.007856076307757712,0.0005968276541205593
194,2020-06-08,BA,Canarana,city,9,0,True,26176.0,2906204,34.38264,0.0,0.17632578704943366,0.006320707151529845,0.0001432439472623021
195,2020-06-08,BA,Canavieiras,city,28,1,True,31099.0,2906303,90.03505,0.0357,0.4298218395816676,-0.0062123429728287325,-0.00086148107491773
196,2020-06-08,BA,Candeal,city,2,0,True,8258.0,2906402,24.21894,0.0,0.1747948680131914,0.033592127298724656,0.006131383286491186
197,2020-06-08,BA,Candeias,city,278,5,True,87076.0,2906501,319.26133,0.018000000000000002,6.594916833030437,0.18021042910420876,-0.010022301566193251
198,2020-06-08,BA,Candiba,city,4,0,True,14319.0,2906600,27.93491,0.0,0.33583217220698586,0.027248325778704754,-0.0026178539308898846
199,2020-06-08,BA,Cândido Sales,city,29,0,True,25189.0,2906709,115.12961999999999,0.0,1.8272546633548665,0.11826953557159346,-0.0001756011613131699
200,2020-06-08,BA,Cansanção,city,18,0,True,34834.0,2906808,51.67365,0.0,0.5157255158042466,0.02841810848525284,0.000751401501553877
201,2020-06-08,BA,Canudos,city,12,0,True,16668.0,2906824,71.99424,0.0,0.6577535539603132,0.0020247445475589684,-0.02182560378508461
202,2020-06-08,BA,Capela do Alto Alegre,city,2,0,True,11637.0,2906857,17.18656,0.0,0.02855521458241529,-0.0013900766817632347,-0.00020288837670286047
203,2020-06-08,BA,Capim Grosso,city,29,3,True,30662.0,2906873,94.57961,0.1034,0.675795837661563,0.013325845452398328,-0.0017973544720555864
204,2020-06-08,BA,Caraíbas,city,3,0,True,8951.0,2906899,33.515809999999995,0.0,0.13931392083960267,0.0020832084992315984,-0.002236665005061021
205,2020-06-08,BA,Caravelas,city,3,0,True,22016.0,2906907,13.62645,0.0,0.3997850848815392,0.0644589965284493,-0.0004975274540692445
206,2020-06-08,BA,Cardeal da Silva,city,6,0,True,9295.0,2907004,64.55083,0.0,0.20753278056045663,-0.006285731946522546,-0.0023503898558027863
207,2020-06-08,BA,Carinhanha,city,1,0,True,29018.0,2907103,3.44614,0.0,0.0,0.0,0.0
208,2020-06-08,BA,Casa Nova,city,32,0,True,71969.0,2907202,44.46359,0.0,2.646727768086328,0.09889883179214796,-0.05597380949502563
209,2020-06-08,BA,Castro Alves,city,20,1,True,26264.0,2907301,76.14986,0.05,0.33528212824844716,-0.01873857084948766,-0.0037576101789061583
210,2020-06-08,BA,Catu,city,60,1,True,54704.0,2907509,109.68118999999999,0.0167,1.6140564818660281,0.08635731476241908,0.0033484140773795785
211,2020-06-08,BA,Central,city,1,0,True,17266.0,2907608,5.79173,0.0,0.0,0.0,0.0
212,2020-06-08,BA,Chorrochó,city,1,0,True,11177.0,2907707,8.94694,0.0,0.0,0.0,0.0
213,2020-06-08,BA,Cícero Dantas,city,2,0,True,32515.0,2907806,6.151009999999999,0.0,0.09343629160158246,0.006708587975974596,-0.0005287002435098602
214,2020-06-08,BA,Cipó,city,2,0,True,17300.0,2907905,11.56069,0.0,0.07161633872571802,0.006197417735752833,0.0002978068708629791
215,2020-06-08,BA,Coaraci,city,36,2,True,16993.0,2908002,211.85193999999998,0.0556,0.48257035782284224,-0.017870333377261592,-0.002339330154384453
216,2020-06-08,BA,Cocos,city,6,0,True,18777.0,2908101,31.95399,0.0,0.15421291080989313,-0.03032276114015853,-0.004676732958053522
217,2020-06-08,BA,Conceição da Feira,city,21,0,True,22581.0,2908200,92.99854,0.0,0.9107218960086527,0.04073768045692437,-0.001614437014256233
218,2020-06-08,BA,Conceição do Almeida,city,5,0,True,17247.0,2908309,28.99055,0.0,0.167460859833335,0.0034111169857112423,-0.0002456112777533812
219,2020-06-08,BA,Conceição do Coité,city,44,0,True,66612.0,2908408,66.05416,0.0,1.2564423063682295,0.08418165035667667,0.006424386538332937
220,2020-06-08,BA,Conceição do Jacuípe,city,15,0,True,33153.0,2908507,45.24477,0.0,0.34029406290842307,0.011468297635619991,-0.00047262197723848615
221,2020-06-08,BA,Conde,city,10,1,True,25837.0,2908606,38.70418,0.1,0.26452052868038484,0.0159393075630819,0.0004508275132031521
222,2020-06-08,BA,Condeúba,city,10,0,True,17247.0,2908705,57.9811,0.0,0.4821950403667189,0.012918693572748403,-0.00419854674669987
223,2020-06-08,BA,Coração de Maria,city,9,0,True,22605.0,2908903,39.8142,0.0,0.22725785959322678,0.005248536104462973,-0.0011520238789654576
224,2020-06-08,BA,Coronel João Sá,city,7,0,True,15895.0,2909208,44.03901,0.0,0.3163584162026949,-0.11704446546289145,-0.04384781334644187
225,2020-06-08,BA,Correntina,city,6,0,True,32137.0,2909307,18.670070000000003,0.0,0.7224138404314143,0.08736933934795711,0.00040563604034779977
226,2020-06-08,BA,Cravolândia,city,3,0,True,5349.0,2909505,56.08525,0.0,0.037803622831666335,0.00421280262675849,0.0005896119290410094
227,2020-06-08,BA,Crisópolis,city,3,0,True,21103.0,2909604,14.21599,0.0,0.07941934042451279,0.00707129843013262,0.00030165353176391787
228,2020-06-08,BA,Cristópolis,city,6,0,True,13910.0,2909703,43.134440000000005,0.0,0.1703490137278602,0.004015631253448232,-0.00035744518908307387
229,2020-06-08,BA,Cruz das Almas,city,31,0,True,63239.0,2909802,49.020379999999996,0.0,0.8498872755805564,0.025713075315703507,-0.0005484382697149185
230,2020-06-08,BA,Curaçá,city,39,0,True,34700.0,2909901,112.39193,0.0,0.7938417769095037,0.004716558173395705,-0.0003404355518547211
231,2020-06-08,BA,Dário Meira,city,12,0,True,10710.0,2910008,112.04482,0.0,0.2994047333160011,0.003607588838790406,-0.00045227044875880307
232,2020-06-08,BA,Dias d'Ávila,city,116,4,True,81089.0,2910057,143.0527,0.0345,2.874244872639212,0.09853425344360342,-0.0030715846688457982
233,2020-06-08,BA,Dom Basílio,city,3,0,True,12199.0,2910107,24.59218,0.0,0.04232243995037002,0.0018506151098041659,-0.00016336732929806417
234,2020-06-08,BA,Encruzilhada,city,21,0,True,17006.0,2910404,123.48583,0.0,0.9121257142666491,0.05518215153578565,0.0009146782872969845
235,2020-06-08,BA,Entre Rios,city,27,0,True,41780.0,2910503,64.62422,0.0,1.1857111835922742,0.07188255186854772,0.0012969593232826497
236,2020-06-08,BA,Esplanada,city,2,0,True,37237.0,2910602,5.371,0.0,0.0,0.0,0.0
237,2020-06-08,BA,Euclides da Cunha,city,8,1,True,60585.0,2910701,13.20459,0.125,0.19060159299365964,0.006180549485198664,-0.0005552005908860645
238,2020-06-08,BA,Eunápolis,city,209,2,True,113380.0,2910727,184.33586,0.0096,5.431503344174476,0.1794127567446674,-0.0035869084372923705
239,2020-06-08,BA,Fátima,city,2,0,True,17890.0,2910750,11.17943,0.0,0.0763471837420163,0.0023824643394513467,-0.0010692384659781846
240,2020-06-08,BA,Feira de Santana,city,791,7,True,614872.0,2910800,128.64466000000002,0.0088,17.56548046911841,0.6447519387282264,0.003257766321635139
241,2020-06-08,BA,Filadélfia,city,3,1,True,16377.0,2910859,18.31837,0.3333,0.11821784523476679,0.015032457403503795,0.0014194102036423778
242,2020-06-08,BA,Firmino Alves,city,1,0,True,5617.0,2910909,17.8031,0.0,0.0,0.0,0.0
243,2020-06-08,BA,Floresta Azul,city,10,0,True,10629.0,2911006,94.08223000000001,0.0,0.24172050250186158,0.012996272756041736,0.0011301230208443252
244,2020-06-08,BA,Formosa do Rio Preto,city,7,0,True,25591.0,2911105,27.35337,0.0,1.1664873782411376,0.1329499015678504,-0.044846753394935726
245,2020-06-08,BA,Gandu,city,83,1,True,32403.0,2911204,256.14912000000004,0.012,2.4883486378538193,0.16253165944666215,0.009019242056361008
246,2020-06-08,BA,Glória,city,5,0,True,15221.0,2911402,32.84935,0.0,0.25961749227933595,0.010836785848644528,-0.0010741187950808735
247,2020-06-08,BA,Gongogi,city,14,2,True,7128.0,2911501,196.40853,0.1429,0.2276937355277807,-0.002603566320297497,-0.0004571652947360448
248,2020-06-08,BA,Governador Mangabeira,city,4,1,True,20722.0,2911600,19.303160000000002,0.25,0.09038020330822459,-0.00019970941587298731,-0.000636299571860066
249,2020-06-08,BA,Guanambi,city,52,0,True,84481.0,2911709,61.5523,0.0,2.9795818917244596,0.16134179786064884,-0.002108668861602254
